lat,lon,cloud_amount
-74.5,118.125,14.600000000000001
-74.5,121.875,11.8
-74.5,125.625,11.4
-74.5,129.375,12.0
-74.5,133.125,11.4
-74.5,136.875,12.700000000000001
-74.5,140.625,16.7
-74.5,144.375,18.3
-74.5,148.125,17.900000000000002
-74.5,151.875,19.400000000000002
-74.5,155.625,23.400000000000002
-74.5,159.375,36.6
-74.5,163.125,76.80000000000001
-74.5,166.875,72.7
-74.5,170.625,75.9
-74.5,174.375,72.60000000000001
-74.5,178.125,77.7
-74.5,181.875,79.0
-74.5,185.625,83.2
-74.5,189.375,85.30000000000001
-74.5,193.125,85.4
-74.5,196.875,84.0
-74.5,200.625,84.7
-74.5,204.375,82.4
-74.5,208.125,83.60000000000001
-74.5,211.875,79.2
-74.5,215.625,73.60000000000001
-74.5,219.375,73.7
-74.5,223.125,72.8
-74.5,226.875,72.8
-74.5,230.625,75.9
-74.5,234.375,76.9
-74.5,238.125,76.7
-74.5,241.875,73.4
-74.5,245.625,75.9
-74.5,249.375,76.10000000000001
-74.5,253.125,75.3
-74.5,256.875,69.8
-74.5,260.625,66.4
-74.5,264.375,60.1
-74.5,268.125,58.0
-74.5,271.875,58.7
-74.5,275.625,59.400000000000006
-74.5,279.375,58.6
-74.5,283.125,60.0
-74.5,286.875,50.7
-74.5,290.625,51.400000000000006
-74.5,294.375,51.300000000000004
-74.5,298.125,73.5
-74.5,301.875,73.10000000000001
-74.5,305.625,70.5
-74.5,309.375,73.3
-74.5,313.125,74.3
-74.5,316.875,76.5
-74.5,320.625,73.4
-74.5,324.375,79.2
-74.5,328.125,83.0
-74.5,331.875,82.10000000000001
-74.5,335.625,82.80000000000001
-74.5,339.375,73.5
-74.5,343.125,65.0
-74.5,346.875,56.0
-74.5,350.625,50.6
-74.5,354.375,41.7
-74.5,358.125,29.8
-73.5,1.7647059,37.1
-73.5,5.294118,29.700000000000003
-73.5,8.823529,24.400000000000002
-73.5,12.352941,23.0
-73.5,15.882353,22.900000000000002
-73.5,19.411764,23.6
-73.5,22.941175,27.1
-73.5,26.470589,25.6
-73.5,30.0,23.0
-73.5,33.52941,20.3
-73.5,37.058823,18.7
-73.5,40.588234,17.3
-73.5,44.117645,17.1
-73.5,47.64706,17.6
-73.5,51.17647,20.400000000000002
-73.5,54.705883,27.3
-73.5,58.235294,32.7
-73.5,61.764706,46.1
-73.5,65.29411,49.900000000000006
-73.5,68.82353,52.0
-73.5,72.352936,40.900000000000006
-73.5,75.882355,34.2
-73.5,79.41176,23.200000000000003
-73.5,82.94118,19.5
-73.5,86.47058,18.2
-73.5,90.0,14.700000000000001
-73.5,93.52942,12.600000000000001
-73.5,97.05882,12.600000000000001
-73.5,100.58824,14.4
-73.5,104.117645,16.6
-73.5,107.647064,18.900000000000002
-73.5,111.17647,18.1
-73.5,114.70589,16.3
-73.5,118.23529,14.600000000000001
-73.5,121.76471,14.4
-73.5,125.29411,14.3
-73.5,128.82353,15.9
-73.5,132.35295,17.6
-73.5,135.88235,17.3
-73.5,139.41177,17.7
-73.5,142.94118,19.0
-73.5,146.4706,20.900000000000002
-73.5,150.0,22.0
-73.5,153.52942,22.8
-73.5,157.05882,22.900000000000002
-73.5,160.58824,40.7
-73.5,164.11765,76.0
-73.5,167.64706,79.30000000000001
-73.5,171.17647,77.9
-73.5,174.70589,75.0
-73.5,178.23529,79.30000000000001
-73.5,181.76471,81.80000000000001
-73.5,185.29413,83.2
-73.5,188.82353,85.7
-73.5,192.35295,84.80000000000001
-73.5,195.88235,84.0
-73.5,199.41177,83.60000000000001
-73.5,202.94118,83.7
-73.5,206.4706,85.5
-73.5,210.0,85.30000000000001
-73.5,213.52942,79.60000000000001
-73.5,217.05882,76.9
-73.5,220.58824,74.7
-73.5,224.11765,78.80000000000001
-73.5,227.64706,77.5
-73.5,231.17647,78.0
-73.5,234.70589,84.60000000000001
-73.5,238.23529,80.80000000000001
-73.5,241.76471,78.10000000000001
-73.5,245.29413,73.5
-73.5,248.82353,75.8
-73.5,252.35295,74.9
-73.5,255.88235,72.0
-73.5,259.41177,75.0
-73.5,262.9412,68.2
-73.5,266.47058,61.800000000000004
-73.5,270.0,59.400000000000006
-73.5,273.52942,63.7
-73.5,277.05884,74.8
-73.5,280.58823,61.400000000000006
-73.5,284.11765,67.8
-73.5,287.64706,63.2
-73.5,291.17648,52.400000000000006
-73.5,294.70587,50.7
-73.5,298.2353,64.2
-73.5,301.7647,70.10000000000001
-73.5,305.29413,66.2
-73.5,308.82355,68.3
-73.5,312.35294,73.7
-73.5,315.88235,75.60000000000001
-73.5,319.41177,77.0
-73.5,322.9412,78.30000000000001
-73.5,326.47058,80.2
-73.5,330.0,79.5
-73.5,333.52942,81.30000000000001
-73.5,337.05884,81.2
-73.5,340.58823,80.30000000000001
-73.5,344.11765,77.5
-73.5,347.64706,62.2
-73.5,351.17648,58.400000000000006
-73.5,354.70587,50.7
-73.5,358.2353,44.800000000000004
-72.5,1.6666666,54.5
-72.5,5.0,46.400000000000006
-72.5,8.333333,39.800000000000004
-72.5,11.666666,35.6
-72.5,15.0,32.1
-72.5,18.333332,33.4
